avg_response_time,average_time_from_auction_last_bet,avg_bid_per_auction,stddev_bid_per_auction,tot_num_of_bids,avg_phone_per_auction,stddev_phone_per_auction,tot_phones_used,avg_country_per_auction,stddev_country_per_auction,tot_country_used,avg_url_per_auction,tot_url_used,auction_participated,avg_bids_in_participated_auctions,stddev_bids_in_participated_auctions,avg_ratio_poitions,stddev_ratio_poitions,jewelry,furniture,home_goods,mobile,sporting_goods,office_equipment,computers,books_and_music,clothing,auto_parts,outcome
3842105263,624894736843,1,0,1,1,0,1,1,0,1,1,1,1,2031,0,0.93500739,0,1,0,0,0,0,0,0,0,0,0,0
736842106,4667315789473,1,0,1,1,0,1,1,0,1,1,1,1,27592,0,0.84981154,0,0,0,0,1,0,0,0,0,0,0,0
7447555057.8369,10178220231429.6,1.9054,1.4062,141,1.6351,1.0472,121,1,0,74,1.7568,130,74,8409.7376,14675.1934,0.6199688853,0.2619551704,0,0,0,0,0,0,0,1,0,0,0
210526316,3357877192982.33,1,0,3,1,0,3,1,0,3,1,3,3,6274,239.115,0.5772848533,0.2927102784,0,0,0,0,0,1,0,0,0,0,0
3145391102.081,7430509353493.93,31.9412,122.0205,543,10.4118,37.1484,177,4.9412,15.2681,84,1.1176,19,17,200190.6298,41541.5817,0.52460481,0.2732454049,1,0,0,0,0,0,0,0,0,0,0
2949656750.5217,5225977116704.91,1.2105,0.6943,23,1.1053,0.3069,21,1.0526,0.2233,20,1.1053,21,19,10050.0435,11504.7913,0.5476227153,0.2612037038,0,0,0,1,0,0,0,0,0,0,0
3106882591.1077,6499404048582.69,5,12.4344,65,3.1538,6.6199,41,1.3077,1.0659,17,2.6923,35,13,155888.8769,89191.1632,0.4760464023,0.2199713828,1,0,0,0,0,0,0,0,0,0,0
5106015037.6571,7268074436090.19,2.2581,2.2139,70,1.7419,1.4804,54,1,0,31,1.6129,50,31,12036.6,10058.8461,0.4176084232,0.2063229171,0,0,0,1,0,0,0,0,0,0,0
2555555555.6667,6871593567251.33,1.2857,0.7954,18,1.2857,0.7954,18,1.2143,0.5579,17,1.1429,16,14,50470.6667,84769.1673,0.415543495,0.2365614836,0,0,0,1,0,0,0,0,0,0,0
1954385964.7333,5930691228070.4,1.6667,0.6667,15,1.3333,0.6667,12,1.1111,0.3143,10,1.5556,14,9,34555.6,68428.3013,0.53204312,0.2300601339,0,0,0,1,0,0,0,0,0,0,0
